action	key	name	M	B	qual
DELETE	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M1000_B1000_NM_bootlocal_clean	1000	1000	1
DELETE	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M1000_B1000_NM_bootlocal_run2	1000	1000	1
DELETE	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M5_B500_NM_bootlocal_launch	5	500	0
DELETE	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M500_B250_NM_bootlocal	500	250	0
DELETE	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M500_B250_NM_bootlocal_c5	500	250	0
DELETE	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M500_B500_NM_bootlocal	500	500	1
DELETE	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M500_B500_NM_bootlocal_launch	500	500	1
DELETE	rotational_mixtures_initial	rotational_mixtures_initial_B500_pilot	0	500	0
DELETE	spherical_cauchy_simple_composite_bootlocal	spherical_cauchy_simple_composite_M500_B500_bootlocal_launch	500	500	1
KEEP	jp_cardioid_composite_NM_bootlocal	jp_cardioid_composite_M500_B500_NM_bootlocal	500	500	1
KEEP	jp_neg_simple_CvM	jp_neg_simple_M100_B99_CvM	100	99	0
KEEP	jp_neg_simple_KS	jp_neg_simple_M100_B99_KS	100	99	0
KEEP	jp_neg_small_CvM	jp_neg_small_M20_B39_CvM	20	39	0
KEEP	jp_neg_small_KS	jp_neg_small_M20_B39_KS	20	39	0
KEEP	jp_only_composite_n50_ks_NM_bootlocal	jp_only_composite_n50_ks_M1000_B1000_NM_bootlocal	1000	1000	1
KEEP	jp_pos_same_CvM	jp_pos_same_M100_B99_CvM	100	99	0
KEEP	jp_pos_same_KS	jp_pos_same_M100_B99_KS	100	99	0
KEEP	jp_pos_simple_CvM	jp_pos_simple_M100_B99_CvM	100	99	0
KEEP	jp_pos_simple_KS	jp_pos_simple_M100_B99_KS	100	99	0
KEEP	jp_simple	jp_simple_MB1000	1000	1000	1
KEEP	jp_theta_diagnostics	jp_theta_diagnostics_M100_B99	100	99	0
KEEP	jp_theta_diagnostics_obsHigh_bootFast	jp_theta_diagnostics_obsHigh_bootFast_M100_B99	100	99	0
KEEP	logistic_gaussian_composite_ks	logistic_gaussian_composite_ks_MB100	100	100	0
KEEP	logistic_gaussian_simple_balanced_n50	logistic_gaussian_simple_balanced_n50_MB500	500	500	1
KEEP	logistic_gaussian_simple_ks	logistic_gaussian_simple_ks_MB500	500	500	1
KEEP	normal_composite_n50_100_200	normal_composite_M1000_B1000_n50_100_200	1000	1000	1
KEEP	normal_simple_n50_100_200	normal_simple_M1000_B1000_n50_100_200	1000	1000	1
KEEP	rotational_mixtures_initial	rotational_mixtures_initial_B500	0	500	0
KEEP	rotational_mixtures_simple_composite_bootlocal	rotational_mixtures_simple_composite_M500_B500_bootlocal	500	500	1
KEEP	small_circle_simple_composite_bootlocal	small_circle_simple_composite_M500_B500_bootlocal	500	500	1
KEEP	spherical_cauchy_simple_composite_bootlocal	spherical_cauchy_simple_composite_M500_B500_bootlocal	500	500	1
KEEP	vmf_composite_kappa_0_5_n50_100_200	vmf_composite_kappa_0_5_M1000_B1000_n50_100_200	1000	1000	1
KEEP	vmf_composite_n50_100	vmf_composite_M1000_B1000_n50_100_queue	1000	1000	1
KEEP	vmf_composite_n50_100_200	vmf_composite_M1000_B1000_n50_100_200	1000	1000	1
KEEP	vmf_simple_n50_100_200	vmf_simple_M1000_B1000_n50_100_200	1000	1000	1
